Rank;Prev;Diff;Rider;Team;Points;Date_of_birth;Nationality;Weight;Height;PCS_points;One_dav_races;GC;Time_trial;Sprint;Cimber
171;171;;Tiberi Antonio;Bahrain - Victorious;375;24th June 2001;Italy;62;1.73;375;125;393;195;2;480
172;174;+2;Jackson George;Bolton Equities Black Spoke;372;20th February 2000;New Zealand;74;1.82;370;45;158;28;351;64
173;172;-1;Onley Oscar;Team DSM;372;13th October 2002;Great Britain;;1.89;372;20;346;13;5;399
174;173;-1;Storer Michael;Groupama - FDJ;370;28th February 1997;Australia;63;1.73;370;399;871;97;120;1138
175;175;;Cepeda Jefferson Alexander;EF Education - EasyPost;367;16th June 1998;Ecuador;56;1.74;367;123;468;84;0;414
176;176;;Adrià Roger;Equipo Kern Pharma;367;18th April 1998;Spain;64;1.64;367;413;264;27;10;502
177;177;;Godon Dorian;AG2R Citroën Team;364;25th May 1996;France;73;1.79;364;1148;331;161;116;1069
178;178;;Fedorov Yevgeniy;Astana Qazaqstan Team;364;16th February 2000;Kazakhstan;80;1.90;364;415;174;87;167;54
179;179;;Ackermann Pascal;UAE Team Emirates;362;17th January 1994;Germany;78;1.93;362;3313;308;68;3469;1338
180;180;;Sepúlveda Eduardo;Lotto Dstny;361;13th June 1991;Argentina;59;1.80;361;523;1409;392;123;859
181;181;;Moniquet Sylvain;Lotto Dstny;361;14th January 1998;Belgium;61;1.73;361;209;444;25;8;542
182;182;;Venturini Clément;AG2R Citroën Team;357;16th October 1993;France;60;1.75;357;1174;470;79;1254;1158
183;184;+1;Mayrhofer Marius;Team DSM;353;18th September 2000;Germany;70;1.65;353;270;45;78;106;277
184;185;+1;Van Moer Brent;Lotto Dstny;351;12th January 1998;Belgium;79;1.82;351;223;396;260;68;262
185;186;+1;Ferron Valentin;TotalEnergies;351;8th February 1998;France;67;1.91;351;557;145;59;9;258
186;187;+1;van Baarle Dylan;Jumbo-Visma;350;21st May 1992;Netherlands;78;1.74;350;2616;1424;1296;613;1423
187;188;+1;Scaroni Christian;Astana Qazaqstan Team;350;16th October 1997;Italy;63;1.89;350;271;237;7;20;602
188;189;+1;Degenkolb John;Team DSM;349;7th January 1989;Germany;82;1.75;349;6318;1196;292;6196;2632
189;190;+1;Sobrero Matteo;Team Jayco AlUla;349;14th May 1997;Italy;63;1.80;349;176;438;1142;30;790
190;191;+1;Castroviejo Jonathan;INEOS Grenadiers;345;27th April 1987;Spain;62;1.77;345;253;2021;4463;74;1282
191;183;-8;Clarke Simon;Israel - Premier Tech;343;18th July 1986;Australia;63;1.71;353;2342;1465;134;1349;2444
192;201;+9;Harper Chris;Team Jayco AlUla;342;23rd November 1994;Australia;67;1.75;325;415;807;218;67;642
193;192;-1;Dujardin Sandy;TotalEnergies;341;29th May 1997;France;;1.85;341;574;64;68;170;209
194;193;-1;Bettiol Alberto;EF Education - EasyPost;339;29th October 1993;Italy;69;1.78;339;1967;671;782;246;1986
195;194;-1;Walscheid Max;Cofidis;337;13th June 1993;Germany;90;1.80;337;1437;255;724;2250;244
196;195;-1;Champoussin Clément;Team Arkéa Samsic;336;29th May 1998;France;61;1.99;336;604;429;71;32;1363
197;196;-1;Williams Stephen;Israel - Premier Tech;333;9th June 1996;Great Britain;59;1.80;333;140;371;5;76;408
198;197;-1;Eekhoff Nils;Team DSM;333;23rd January 1998;Netherlands;75;1.83;333;447;279;222;520;152
199;198;-1;Dupont Timothy;Tarteletto - Isorex;327;1st November 1987;Belgium;72;1.92;327;3441;204;3;5234;227
200;199;-1;Pithie Laurence;Groupama - FDJ;327;17th July 2002;New Zealand;74;1.79;327;398;60;23;265;118
201;200;-1;Sevilla Óscar;Team Medellín - EPM;326;29th September 1976;Spain;62;1.85;326;779;5122;2438;2377;3364
202;202;;Zanoncello Enrico;Green Project-Bardiani CSF-Faizanè;325;2nd August 1997;Italy;64;1.75;325;32;126;0;571;97
203;203;;Leknessund Andreas;Team DSM;322;21st May 1999;Norway;72;1.70;322;181;804;496;4;659
204;204;;Kielich Timo;Alpecin-Deceuninck Development Team;321;5th August 1999;Belgium;73;1.86;321;318;57;11;284;147
205;205;;Howson Damien;Q36.5 Pro Cycling Team;319;13th August 1992;Australia;68;1.85;319;240;1383;642;66;784
206;206;;Askey Lewis;Groupama - FDJ;319;4th May 2001;Great Britain;75;1.88;319;386;59;11;110;184
207;207;;Perez Anthony;Cofidis;318;22nd April 1991;France;70;1.87;318;534;489;265;97;524
208;208;;Bennett Sam;BORA - hansgrohe;316;16th October 1990;Ireland;73;1.90;316;2626;336;105;5738;1314
209;209;;Carr Simon;EF Education - EasyPost;316;29th August 1998;Great Britain;63;1.78;316;267;269;45;0;396
210;210;;Nys Thibau;Trek - Segafredo;316;12th November 2002;Belgium;64;1.83;316;182;125;42;142;254
211;211;;Viviani Elia;INEOS Grenadiers;315;7th February 1989;Italy;67;1.76;315;4975;958;160;7560;2076
212;212;;Denz Nico;BORA - hansgrohe;314;15th February 1994;Germany;71;1.78;314;411;327;298;242;502
213;213;;Goossens Kobe;Intermarché - Circus - Wanty;309;29th April 1996;Belgium;64;1.83;309;346;287;23;25;370
214;214;;Sénéchal Florian;Soudal - Quick Step;307;10th July 1993;France;77;1.78;307;3032;726;202;1638;999
215;215;;Urán Rigoberto;EF Education - EasyPost;305;26th January 1987;Colombia;63;1.79;305;3086;5844;1782;744;7909
216;216;;Van Asbroeck Tom;Israel - Premier Tech;302;19th April 1990;Belgium;72;1.73;302;2790;507;20;3294;581
217;217;;Turgis Anthony;TotalEnergies;298;16th May 1994;France;70;1.82;298;2131;757;183;700;768
218;218;;Van Hooydonck Nathan;Jumbo-Visma;298;12th October 1995;Belgium;78;1.78;298;534;316;297;160;119
219;219;;Armirail Bruno;Groupama - FDJ;298;11th April 1994;France;74;1.92;298;114;527;1045;5;273
220;220;;Berwick Sebastian;Israel - Premier Tech;297;15th December 1999;Australia;59;1.90;297;24;373;5;7;262
221;237;+16;Plapp Luke;INEOS Grenadiers;292;25th December 2000;Australia;72;1.75;277;75;445;205;23;276
222;221;-1;Hagenes Per Strand;Jumbo-Visma Development Team;292;10th July 2003;Norway;;1.81;292;230;63;67;124;90
223;222;-1;Bissegger Stefan;EF Education - EasyPost;290;13th September 1998;Switzerland;78;1.85;290;214;187;1601;117;170
224;223;-1;Hofstetter Hugo;Team Arkéa Samsic;289;13th February 1994;France;65;1.81;289;2656;155;0;2015;542
225;224;-1;Rochas Rémy;Cofidis;289;18th May 1996;France;51;1.70;289;179;609;65;26;518
226;225;-1;Hamza Yacine;Dubai Police Cycling Team;288;18th April 1997;;;1.64;288;317;62;71;763;50
227;226;-1;Soupe Geoffrey;TotalEnergies;287;22nd March 1988;France;70;;287;217;397;150;586;244
228;227;-1;Marit Arne;Intermarché - Circus - Wanty;287;21st January 1999;Belgium;72;;287;616;45;3;501;198
229;228;-1;Donovan Mark;Q36.5 Pro Cycling Team;287;3rd April 1999;Great Britain;70;1.77;287;70;427;69;4;378
230;229;-1;Arensman Thymen;INEOS Grenadiers;285;4th December 1999;Netherlands;68;1.85;285;32;1065;853;18;1158
231;230;-1;Pedersen Casper;Soudal - Quick Step;284;15th March 1996;Denmark;71;1.85;284;397;411;302;322;200
232;231;-1;Ballerini Davide;Soudal - Quick Step;281;21st September 1994;Italy;77;1.92;281;1568;165;133;850;988
233;232;-1;Dinham Matthew;Team DSM;281;9th April 2000;Australia;63;1.86;281;248;140;8;3;184
234;233;-1;Andresen Tobias Lund;Team DSM;281;20th August 2002;Denmark;69;1.83;281;165;15;8;223;170
235;234;-1;Vanmarcke Sep;Israel - Premier Tech;280;28th July 1988;Belgium;77;1.75;280;4870;781;267;1907;1544
236;235;-1;Cras Steff;TotalEnergies;279;13th February 1996;Belgium;65;1.81;279;187;736;43;30;861
237;236;-1;Taminiaux Lionel;Alpecin - Deceuninck;278;21st May 1996;Belgium;74;1.90;278;735;50;23;748;152
238;238;;Beullens Cedric;Lotto Dstny;276;27th January 1997;Belgium;79;1.83;276;451;80;15;292;94
239;239;;Peña Jesús David;Team Jayco AlUla;276;8th May 2000;Colombia;56;1.73;276;14;214;0;1;168
240;240;;Voisard Yannis;Tudor Pro Cycling Team;274;26th July 1998;Switzerland;56;1.90;274;24;270;44;1;209
241;241;;Townsend Rory;Bolton Equities Black Spoke;273;30th June 1995;Ireland;73;1.70;273;406;58;83;430;122
242;242;;Tesson Jason;TotalEnergies;272;9th January 1998;France;59;;272;516;53;0;639;85
243;243;;Træen Torstein;Uno-X Pro Cycling Team;269;16th July 1995;Norway;;;269;106;595;11;49;404
244;244;;Bernal Egan;INEOS Grenadiers;269;13th January 1997;Colombia;60;1.84;269;892;3728;510;118;3900
245;245;;Molard Rudy;Groupama - FDJ;267;17th September 1989;France;62;1.66;267;1265;1568;161;399;2077
246;246;;Tejada Harold;Astana Qazaqstan Team;265;27th April 1997;Colombia;63;1.81;265;74;398;79;10;376
247;247;;Peters Nans;AG2R Citroën Team;262;12th March 1994;France;71;1.75;262;554;364;69;62;659
248;248;;Oliveira Nelson;Movistar Team;261;6th March 1989;Portugal;67;1.78;261;539;1130;3395;50;978
249;249;;Latour Pierre;TotalEnergies;259;12th October 1993;France;66;1.80;259;778;2141;1219;132;3086
250;250;;Louvel Matis;Team Arkéa Samsic;258;19th July 1999;France;73;1.77;258;919;128;67;100;334
251;251;;van Dijke Tim;Jumbo-Visma;258;15th March 2000;Netherlands;74;1.80;258;192;89;187;167;71
252;252;;Meintjes Louis;Intermarché - Circus - Wanty;257;21st February 1992;South Africa;58;1.81;257;664;2946;346;100;3328
253;253;;Dversnes Fredrik;Uno-X Pro Cycling Team;257;20th March 1997;;;1.87;257;202;112;36;30;78
254;254;;Serrano Gonzalo;Movistar Team;256;17th August 1994;Spain;65;1.89;256;638;455;32;134;886
255;255;;Fiorelli Filippo;Green Project-Bardiani CSF-Faizanè;256;19th November 1994;;;1.73;256;412;175;19;451;622
256;256;;Calmejane Lilian;Intermarché - Circus - Wanty;254;6th December 1992;France;70;;254;1043;1270;182;357;1688
257;257;;Calzoni Walter;Q36.5 Pro Cycling Team;254;8th August 2001;Italy;;;254;122;103;0;4;222
258;258;;Frison Frederik;Lotto Dstny;252;28th July 1992;Belgium;84;1.77;252;469;128;279;220;4
259;259;;Einhorn Itamar;Israel - Premier Tech;252;20th September 1997;Israel;72;;252;417;29;30;722;60
260;260;;Aleotti Giovanni;BORA - hansgrohe;251;25th May 1999;Italy;67;;251;344;598;73;10;524
261;261;;Barré Louis;Team Arkéa Samsic;251;6th April 2000;France;68;1.85;251;148;185;0;4;134
262;262;;Ed Doghmy Achraf;Kawkab AC Marrakech;251;19th November 1999;;;1.72;251;232;75;51;586;15
263;263;;Chaves Esteban;EF Education - EasyPost;250;17th January 1990;Colombia;55;1.93;250;1203;3207;225;144;4461
264;264;;Eenkhoorn Pascal;Lotto Dstny;250;8th February 1997;Netherlands;70;1.72;250;489;366;195;282;374
265;265;;Otruba Jakub;ATT Investments;248;30th January 1998;Czech Republic;75;1.80;248;24;408;231;52;219
266;266;;Bennett George;UAE Team Emirates;247;7th April 1990;New Zealand;58;1.84;247;767;3257;246;68;3248
267;267;;Van Avermaet Greg;AG2R Citroën Team;247;17th May 1985;Belgium;74;;247;11649;3787;577;4938;7756
268;268;;Gesbert Élie;Team Arkéa Samsic;243;1st July 1995;France;63;;243;395;758;12;110;884
269;269;;Lipowitz Florian;BORA - hansgrohe;243;21st September 2000;Germany;68;1.64;243;12;195;17;3;170
